vcenter,boxfoldermail
b23weivmw01.au.ap.ad.ibm.com,AP_vCen.jfeklt547ntgtqat@u.box.com
b25wciapp001.con.can.ibm.com,Canada_.thf44o70o9djgucj@u.box.com
b25wciapp015.wssdom.can.ibm.com,Canada_.rlqsz6xzfa037eeb@u.box.com
b25wciapp035.wssdom.can.ibm.com,Canada_.3bxctsovqs5y998q@u.box.com
igascpts01.uk.europe.ad.ibm.com,EMEA_vC.22bfhxewbygzysvg@u.box.com
hoprdvc001.ad.brazil.ibm.com,LA___BR.dd3p11nagx4267ws@u.box.com
hobmsvcenter.br.ibm.com,LA___BR.yxl50btnlfpjuty1@u.box.com
b01jy076.ahe.pok.ibm.com,US___PO.iu2epx1qf2jwbefo@u.box.com
bhdrprc002.boulder.ibm.com,US___BH.y5bx47p92gn0g15c@u.box.com
bhdrsbc001.boulder.ibm.com,US___BH.fusapxbei7dlcfx1@u.box.com
bhussbc001.pok.ibm.com,US___BH.8ngfem9w6b3ib6w9@u.box.com
bhusprc001.pok.ibm.com,US___BH.lzncc5zcqkh66s6j@u.box.com
bldresvmvc6.boulder.ibm.com,US___MO.g1kz3wayhu3not4c@u.box.com
pokresvmvc6.pok.ibm.com,US___MO.ndoza1undqee0f6z@u.box.com
b01peivis001.us.americas.ad.ibm.com,US___PO.gp25bqrva1ginb0y@u.box.com
b03peivis001.us.americas.ad.ibm.com,US_BLD_.37lgaynsmy47yvmx@u.box.com
m41p-n-vcenter-001.az1.ash.cpc.ibm.com,US___CP.25wqcdsy3gxmcrwf@u.box.com
m42p-n-vcenter-001.az2.ash.cpc.ibm.com,US___CP.gyplstrbescujmyo@u.box.com
m51p-n-vcenter-001.az11.dal.cpc.ibm.com,US___CP.q5mysgtf97956sg5@u.box.com
m52p-n-vcenter-001.az12.dal.cpc.ibm.com,US___CP.3qx088ok7e3gme3y@u.box.com
b02peivis001labvc.ciolab.ibm.com,US___SB.4zqt7rtlrbjuib3o@u.box.com
b02peivis002labvc.ciolab.ibm.com,US___SB.hx4g65kxaeu52tju@u.box.com
